True Value,Predicted Value,Error
8.371999999999999886e+00,1.139996623992919922e+01,-3.616777639666984356e+01
8.029000000000001691e+00,1.139993190765380859e+01,-4.198445519558857342e+01
8.923999999999999488e+00,1.139989757537841797e+01,-2.774425790428528060e+01
9.151000000000001577e+00,1.139995861053466797e+01,-2.457609671658470063e+01
9.335000000000000853e+00,1.139998149871826172e+01,-2.212085161990638227e+01
9.464999999999999858e+00,1.139999389648437500e+01,-2.044367560997755362e+01
9.516000000000000014e+00,1.140000247955322266e+01,-1.979826060900822426e+01
9.540000000000000924e+00,1.140000724792480469e+01,-1.949693131996649598e+01
9.586000000000000298e+00,1.140000343322753906e+01,-1.892346581710347309e+01
9.621999999999999886e+00,1.139999294281005859e+01,-1.847841345676635427e+01
9.756999999999999673e+00,1.139999103546142578e+01,-1.683910049668367748e+01
9.831999999999998963e+00,1.139999771118164062e+01,-1.594790186311678148e+01
9.881000000000000227e+00,1.140001392364501953e+01,-1.537307887506344706e+01
9.910999999999999588e+00,1.140001964569091797e+01,-1.502390924922730697e+01
9.915000000000000924e+00,1.140002536773681641e+01,-1.497756296254982544e+01
9.942000000000000171e+00,1.140002632141113281e+01,-1.466532208218801792e+01
9.947999999999998622e+00,1.140002822875976562e+01,-1.459618243626625578e+01
9.951999999999999957e+00,1.140002822875976562e+01,-1.455012287740922261e+01
1.000899999999999856e+01,1.140002918243408203e+01,-1.389778381890382164e+01
1.005199999999999960e+01,1.140003108978271484e+01,-1.341057590313087289e+01
1.006400000000000006e+01,1.140003395080566406e+01,-1.327537709465087445e+01
1.007000000000000028e+01,1.140003681182861328e+01,-1.320791272918185655e+01
1.007599999999999874e+01,1.140003681182861328e+01,-1.314050031588541678e+01
1.007300000000000040e+01,1.140003681182861328e+01,-1.317419648395326881e+01
1.007000000000000028e+01,1.140003681182861328e+01,-1.320791272918185655e+01
1.007300000000000040e+01,1.140003776550292969e+01,-1.317420595158273677e+01
1.008200000000000074e+01,1.140003776550292969e+01,-1.307317759871978780e+01
1.008900000000000041e+01,1.140003871917724609e+01,-1.299473405865046693e+01
1.013200000000000145e+01,1.140003871917724609e+01,-1.251518672697635637e+01
1.019899999999999984e+01,1.140004062652587891e+01,-1.177606261913794583e+01
1.017699999999999960e+01,1.140004634857177734e+01,-1.201774932270588359e+01
1.017699999999999960e+01,1.140004539489746094e+01,-1.201773995182727006e+01
1.019600000000000151e+01,1.140004539489746094e+01,-1.180899759609120458e+01
1.020800000000000018e+01,1.140004539489746094e+01,-1.167756068669142522e+01
1.023500000000000121e+01,1.140004825592041016e+01,-1.138298247113247541e+01
1.023800000000000132e+01,1.140004920959472656e+01,-1.135035367840129972e+01
1.025699999999999967e+01,1.140004920959472656e+01,-1.114408900843060124e+01
1.028100000000000058e+01,1.140005016326904297e+01,-1.088464315989730835e+01
1.028400000000000070e+01,1.140005111694335938e+01,-1.085230568789730299e+01
